synonym	primary
HNRNPA0	HNRNPA0
FCHO1	FCHO1
CCDC6	CCDC6
CAPN6	CAPN6
EAF2	EAF2
IKZF5	IKZF5
ZNF367	ZNF367
PRAMEF12	PRAMEF12
KLK13	KLK13
LCT	LCT
ENTPD8	ENTPD8
CPS1	CPS1
XPNPEP3	XPNPEP3
FKBPL	FKBPL
OR6B2	OR6B2
BORCS8	BORCS8
LRRC53	LRRC53
PRDM1	PRDM1
ZNF534	ZNF534
ZFP92	ZFP92
FLRT3	FLRT3
ECHDC3	ECHDC3
PCDHB5	PCDHB5
DNAJC5	DNAJC5
UBE2A	UBE2A
TAS2R9	TAS2R9
E2F4	E2F4
ACTR1B	ACTR1B
ZNF425	ZNF425
SPEF2	SPEF2
TRAPPC2B	TRAPPC2B
IZUMO2	IZUMO2
SMARCC1	SMARCC1
APIP	APIP
SRSF10	SRSF10
RCSD1	RCSD1
THOP1	THOP1
IL1RL1	IL1RL1
PRPF19	PRPF19
SNUPN	SNUPN
UNC93A	UNC93A
FZD4	FZD4
CIMIP4	CIMIP4
KRT19	KRT19
ABHD14A	ABHD14A
CAPNS1	CAPNS1
FABP1	FABP1
LRFN4	LRFN4
STYX	STYX
TRA	TRA
TRADD	TRADD
GPAA1	GPAA1
ACOD1	ACOD1
DLX1	DLX1
CLN3	CLN3
ENTREP2	ENTREP2
MMP12	MMP12
TRIM36	TRIM36
GSG1	GSG1
CNTD1	CNTD1
SLF1	SLF1
VCY1B	VCY1B
PRR23E	PRR23E
NGFR	NGFR
KCNK2	KCNK2
NOL4	NOL4
TTC9C	TTC9C
HLA-C	HLA-C
MRPL55	MRPL55
XBP1	XBP1
FAM3D	FAM3D
RHPN1	RHPN1
CDHR5	CDHR5
TBRG4	TBRG4
HCST	HCST
DNM1	DNM1
NPC1L1	NPC1L1
GABARAPL2	GABARAPL2
ADAMTS10	ADAMTS10
ITFG2	ITFG2
BSX	BSX
PSPH	PSPH
C11orf98	C11orf98
BMP7	BMP7
MSBP2	MSBP2
ZNF205	ZNF205
BNC1	BNC1
FAM90A11	FAM90A11
STAT6	STAT6
SCAND1	SCAND1
APOL1	APOL1
TMEM275	TMEM275
PLIN2	PLIN2
DBNDD2	DBNDD2
TUBG2	TUBG2
OXGR1	OXGR1
KRTAP6-3	KRTAP6-3
CYCS	CYCS
ITPR3	ITPR3
SCAI	SCAI
TRAF4	TRAF4
MPHOSPH6	MPHOSPH6
ARF3	ARF3
TRAF2	TRAF2
CDH9	CDH9
POLR1H	POLR1H
TMED9	TMED9
WBP1	WBP1
P2RX3	P2RX3
CC2D2A	CC2D2A
APEX1	APEX1
GOLPH3	GOLPH3
GYS2	GYS2
UNC13B	UNC13B
KRTAP13-1	KRTAP13-1
SBSPON	SBSPON
PLEC	PLEC
LAT2	LAT2
OR6Y1	OR6Y1
BAGE5	BAGE5
NIPSNAP1	NIPSNAP1
CMKLR2	CMKLR2
BOK	BOK
PRSS35	PRSS35
API5	API5
CCR8	CCR8
AIMP1	AIMP1
UBFD1	UBFD1
SCYGR10	SCYGR10
AHNAK	AHNAK
TAS2R60	TAS2R60
ANXA2R	ANXA2R
SNRPA1	SNRPA1
MALT1	MALT1
MFSD14A	MFSD14A
PSG7	PSG7
SELENOW	SELENOW
PLD6	PLD6
IQCF2	IQCF2
NR6A1	NR6A1
ARF6	ARF6
LRIG1	LRIG1
CASP9	CASP9
PLXND1	PLXND1
SPCS2	SPCS2
HSD3B1	HSD3B1
SCT	SCT
ZFYVE27	ZFYVE27
CPLX1	CPLX1
FOLR1	FOLR1
BOLA3	BOLA3
SULT1C3	SULT1C3
HADHB	HADHB
TLR9	TLR9
ZNF214	ZNF214
PROSER3	PROSER3
MTF1	MTF1
YIPF5	YIPF5
RAB1B	RAB1B
LHFPL1	LHFPL1
KLHDC7A	KLHDC7A
VWC2	VWC2
SYNDIG1L	SYNDIG1L
DACT1	DACT1
LRRC58	LRRC58
ELAVL1	ELAVL1
CKLF-CMTM1	CKLF-CMTM1
OSTC	OSTC
TSR3	TSR3
TMPRSS11E	TMPRSS11E
BICRAL	BICRAL
DIO2	DIO2
NUP88	NUP88
UST	UST
HTRA2	HTRA2
NTSR2	NTSR2
MFSD13A	MFSD13A
CYB561D1	CYB561D1
PERCC1	PERCC1
SNX6	SNX6
TRPV3	TRPV3
KCTD5	KCTD5
F10	F10
TMEM158	TMEM158
RBM48	RBM48
TMX3	TMX3
FBXO32	FBXO32
POP1	POP1
RPSA2	RPSA2
CYLD	CYLD
MAB21L3	MAB21L3
TBC1D3I	TBC1D3I
SEC24A	SEC24A
ZBED1	ZBED1
SNRPA	SNRPA
RTL10	RTL10
APPL2	APPL2
TLNRD1	TLNRD1
MYH15	MYH15
KRTAP4-3	KRTAP4-3
GRID1	GRID1
WT1	WT1
ZFR	ZFR
NANS	NANS
CLDN17	CLDN17
DEPDC1	DEPDC1
MUC15	MUC15
LHPP	LHPP
PLPP5	PLPP5
SUN5	SUN5
RING1	RING1
DND1	DND1
PRM1	PRM1
RAD51	RAD51
CST1	CST1
ZNF432	ZNF432
PRKAA2	PRKAA2
RASA2	RASA2
RNF44	RNF44
NPY	NPY
WAC	WAC
SFXN2	SFXN2
IGSF5	IGSF5
TBCK	TBCK
C1QTNF1	C1QTNF1
CENPK	CENPK
NCBP2AS2	NCBP2AS2
NGEF	NGEF
CDHR1	CDHR1
PBX2	PBX2
DICER1	DICER1
POGLUT3	POGLUT3
DEFB130B	DEFB130B
F11	F11
LHFPL2	LHFPL2
HELZ	HELZ
GFUS	GFUS
ZNF18	ZNF18
ZNF474	ZNF474
LDHAL6B	LDHAL6B
OR4F29	OR4F29
RAB7A	RAB7A
TCF3	TCF3
MRPL33	MRPL33
SH3D19	SH3D19
MCM7	MCM7
MLN	MLN
FZD5	FZD5
HPCAL1	HPCAL1
CCDC3	CCDC3
WDR27	WDR27
QTRT2	QTRT2
MED19	MED19
KHNYN	KHNYN
C1orf232	C1orf232
MYO3B	MYO3B
SSR4	SSR4
OR2G3	OR2G3
EID3	EID3
PPP2R3A	PPP2R3A
GFM2	GFM2
KDM1B	KDM1B
PCDHGB2	PCDHGB2
CHRNA3	CHRNA3
GBP2	GBP2
STON1-GTF2A1L	STON1-GTF2A1L
UGT2B17	UGT2B17
PPFIA4	PPFIA4
BAZ1A	BAZ1A
SLC66A3	SLC66A3
OR2T33	OR2T33
RXRA	RXRA
PHF7	PHF7
SNRPF	SNRPF
CRHR1	CRHR1
SYT1	SYT1
DGCR8	DGCR8
LYRM2	LYRM2
RNF228	RNF228
C16orf86	C16orf86
PAK1IP1	PAK1IP1
OLIG3	OLIG3
PIKFYVE	PIKFYVE
SYT14	SYT14
IYD	IYD
FBXO36	FBXO36
SPATA25	SPATA25
STBD1	STBD1
DCBLD1	DCBLD1
TMEM25	TMEM25
ALKBH5	ALKBH5
PDCD2	PDCD2
MROH2B	MROH2B
BTN3A3	BTN3A3
PSMC1	PSMC1
CD1D	CD1D
SLC37A3	SLC37A3
PRB2	PRB2
AQP12B	AQP12B
ZBTB9	ZBTB9
FAM90A9	FAM90A9
SKA3	SKA3
TACR3	TACR3
ECSIT	ECSIT
SPHK1	SPHK1
NUDT19	NUDT19
CCL4	CCL4
GPX1	GPX1
CCL3L1	CCL3L1
KHDRBS2	KHDRBS2
MUC16	MUC16
SSR2	SSR2
TMEM63C	TMEM63C
OR10G4	OR10G4
PLEK2	PLEK2
FEM1B	FEM1B
PEG10	PEG10
MRPL10	MRPL10
VAMP2	VAMP2
H1-2	H1-2
AZGP1	AZGP1
STEAP3	STEAP3
HYCC1	HYCC1
RBAK	RBAK
NDST3	NDST3
MED8	MED8
MLLT10	MLLT10
OR5M11	OR5M11
H4C16	H4C16
DDX51	DDX51
PDPN	PDPN
PHF2	PHF2
SLC28A2	SLC28A2
OR1C1	OR1C1
HERPUD1	HERPUD1
TBC1D3B	TBC1D3B
DOCK10	DOCK10
COA1	COA1
RAB22A	RAB22A
WRN	WRN
ZNF285	ZNF285
CCDC197	CCDC197
AMY1C	AMY1C
EVI5	EVI5
NDST2	NDST2
EPPIN	EPPIN
CEP152	CEP152
UTP15	UTP15
BUD31	BUD31
EBPL	EBPL
BMPER	BMPER
COL28A1	COL28A1
PLEKHD1	PLEKHD1
CCL1	CCL1
CD164	CD164
ZNF132	ZNF132
ZNF14	ZNF14
BEAN1	BEAN1
CPT1B	CPT1B
PRR23D2	PRR23D2
TIMP3	TIMP3
ARMH4	ARMH4
KCNG1	KCNG1
PTDSS1	PTDSS1
APOL5	APOL5
TMEM232	TMEM232
CSAG2	CSAG2
ETV3	ETV3
H2BC3	H2BC3
ZNF516	ZNF516
LY6G6C	LY6G6C
SHISAL1	SHISAL1
GLUD1	GLUD1
RHBDL1	RHBDL1
CFAP126	CFAP126
HACL1	HACL1
ZBTB42	ZBTB42
SERPINH1	SERPINH1
PBX3	PBX3
C1orf56	C1orf56
BBIP1	BBIP1
OR1L1	OR1L1
ANGPTL1	ANGPTL1
OR6B3	OR6B3
TRDMT1	TRDMT1
EIF4G2	EIF4G2
NAP1L2	NAP1L2
CD79A	CD79A
DEFB1	DEFB1
TNFSF10	TNFSF10
OR8S1	OR8S1
ZNF594	ZNF594
GMPS	GMPS
NCBP3	NCBP3
GLRX2	GLRX2
MRGPRX2	MRGPRX2
ARMS2	ARMS2
TSC22D1	TSC22D1
ERGIC1	ERGIC1
TMEM244	TMEM244
TRIM6-TRIM34	TRIM6-TRIM34
FOXD4L6	FOXD4L6
MIDN	MIDN
C16orf46	C16orf46
HNRNPM	HNRNPM
GCOM1	GCOM1
CABYR	CABYR
NTNG1	NTNG1
ASPM	ASPM
DOLPP1	DOLPP1
SPINK8	SPINK8
FSCN1	FSCN1
ADISSP	ADISSP
TMEM119	TMEM119
CELA2B	CELA2B
UTRN	UTRN
NEUROG1	NEUROG1
MVP	MVP
CARM1	CARM1
SNX25	SNX25
TXNRD1	TXNRD1
FGG	FGG
PPM1A	PPM1A
TPBG	TPBG
ELP6	ELP6
C4orf17	C4orf17
PPP1R37	PPP1R37
NAV3	NAV3
DENND2C	DENND2C
HMGCR	HMGCR
MAP3K13	MAP3K13
AP4M1	AP4M1
DNM1L	DNM1L
CHKA	CHKA
NCAPD3	NCAPD3
SRP68	SRP68
CNTNAP3B	CNTNAP3B
GLB1L	GLB1L
SERTAD1	SERTAD1
GM2A	GM2A
DMC1	DMC1
NDUFA13	NDUFA13
PRR20B	PRR20B
RLN1	RLN1
PDZD4	PDZD4
NIPAL4	NIPAL4
MAPK3	MAPK3
MOB1A	MOB1A
MTM1	MTM1
ATP5F1C	ATP5F1C
ZBTB16	ZBTB16
FOXN3	FOXN3
GALNT1	GALNT1
DCUN1D2	DCUN1D2
TECPR2	TECPR2
CTRL	CTRL
TRIM2	TRIM2
ZACN	ZACN
FOXJ2	FOXJ2
ABCC3	ABCC3
INSM1	INSM1
C12orf75	C12orf75
HNRNPA1	HNRNPA1
SPECC1L	SPECC1L
CPHXL	CPHXL
SSH3	SSH3
VPS13C	VPS13C
N4BP2	N4BP2
CLDND1	CLDND1
MTMR14	MTMR14
IQCA1	IQCA1
SLX9	SLX9
NFKBIL1	NFKBIL1
CDYL2	CDYL2
EFCAB9	EFCAB9
ERP29	ERP29
ADCY4	ADCY4
ADRA2C	ADRA2C
RPRML	RPRML
BAHCC1	BAHCC1
TPRG1	TPRG1
